price,date
130.03,2022-12-26 22:00:00
126.04,2022-12-27 22:00:00
129.61,2022-12-28 22:00:00
129.93,2022-12-29 22:00:00
125.07,2023-01-02 22:00:00
126.36,2023-01-03 22:00:00
125.02,2023-01-04 22:00:00
129.62,2023-01-05 22:00:00
130.15,2023-01-08 22:00:00
130.73,2023-01-09 22:00:00
133.49,2023-01-10 22:00:00
133.41,2023-01-11 22:00:00
134.76,2023-01-12 22:00:00
135.94,2023-01-16 22:00:00
135.21,2023-01-17 22:00:00
135.27,2023-01-18 22:00:00
137.87,2023-01-19 22:00:00
141.11,2023-01-22 22:00:00
142.53,2023-01-23 22:00:00
141.86,2023-01-24 22:00:00
143.96,2023-01-25 22:00:00
145.93,2023-01-26 22:00:00
143,2023-01-29 22:00:00
144.29,2023-01-30 22:00:00
145.43,2023-01-31 22:00:00
150.82,2023-02-01 22:00:00
154.5,2023-02-02 22:00:00
151.73,2023-02-05 22:00:00
154.65,2023-02-06 22:00:00
151.92,2023-02-07 22:00:00
150.87,2023-02-08 22:00:00
151.01,2023-02-09 22:00:00
153.85,2023-02-12 22:00:00
153.2,2023-02-13 22:00:00
155.33,2023-02-14 22:00:00
153.71,2023-02-15 22:00:00
152.55,2023-02-16 22:00:00
148.48,2023-02-20 22:00:00
148.91,2023-02-21 22:00:00
149.4,2023-02-22 22:00:00
146.71,2023-02-23 22:00:00
147.92,2023-02-26 22:00:00
147.41,2023-02-27 22:00:00
145.31,2023-02-28 22:00:00
145.91,2023-03-01 22:00:00
151.03,2023-03-02 22:00:00
153.83,2023-03-05 22:00:00
151.6,2023-03-06 22:00:00
152.87,2023-03-07 22:00:00
150.59,2023-03-08 22:00:00
148.5,2023-03-09 22:00:00
150.47,2023-03-12 22:00:00
152.59,2023-03-13 22:00:00
152.99,2023-03-14 22:00:00
155.85,2023-03-15 22:00:00
155,2023-03-16 22:00:00
157.4,2023-03-19 22:00:00
159.28,2023-03-20 22:00:00
157.83,2023-03-21 22:00:00
158.93,2023-03-22 22:00:00
160.25,2023-03-23 22:00:00
158.28,2023-03-26 22:00:00
157.65,2023-03-27 22:00:00
160.77,2023-03-28 22:00:00
